序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.92,1,6
4,FAQJ00-3450,2,,2,3.57,1,
5,FDQJ00-2000,2,,2,2.07,1,
6,ABQJ00-0010,2,,2,3.94,1,
7,AJYY00-0030,2,,2,0.99,,
8,AJZY00-0020,2,,2,1.3,,
9,AJZY00-0040,2,AJZY00-0020,2,1.16,,
10,AJYY00-0070,2,,2,1.71,,
11,AJZY00-0060,2,,2,1.34,,
12,AJZY00-0080,2,AJZY00-0060,2,1.5,,
13,AJCP00-0090,2,,2,1.98,,
14,AJCP00-0130,2,,2,1.19,,
15,AJCP00-0110,2,,2,1.56,,
16,AJCP00-0120,2,,2,0.61,,
17,AJCP00-0140,2,"AJCP00-0110,AJCP00-0120",2,1.51,,
18,AJCP00-0150,2,,2,0.82,,
19,AJCP00-0160,2,AJCP00-0150,2,2.69,,
20,AJCP00-0170,2,AJCP00-0160,2,0.67,,
21,AJWB00-0180,2,AJWB00-0190,2,1.01,,
22,AJWB00-0190,2,,2,1.14,,
23,AEQJ00-0080,2,,2,57.1,,
24,AGQJ00-0010,2,,2,3.9,,
25,FJQJ00-0370,2,,2,0.9,,
26,A-2,1,A-1,0,0.0,,
27,AFQJ00-0100,2,,3,0.7,,
28,AFZG00-0120,2,,3,0.29,,
29,AFZG00-0140,2,,5,0.6,,
30,AFZG00-0160,2,,1,0.53,,
31,AFZG00-0170,2,,1,0.35,,
32,AKQS00-0020,2,,1,1.2,,6
33,AKZY00-0030,2,,1,1.47,,
34,AKCP00-0040,2,,1,1.2,,
35,AKYY00-0050,2,,1,1.58,,
36,AKCP00-0060,2,,1,1.12,,
37,AMYG00-0010,2,,1,0.84,,
38,AWWB00-0010,2,,2,0.7,,
39,AWWB00-0020,2,,1,1.12,,
40,AWWC00-0040,2,,1,1.17,,4
41,BWQS00-0090,2,,1,1.06,,6
42,AWWB00-1600,2,,1,0.37,,
43,FWQJ00-1960,2,,1,0.63,,
44,AYWB00-0050,2,,1,3.33,,
45,AYQQ00-0060,2,,2,5.12,,2
46,AYHS00-0070,2,,1,4.5,,
47,AYQQ00-0080,2,,1,6.39,,2
48,AYZQ00-0090,2,,1,6.13,,
49,ACZY00-0010,2,,1,0.93,,
50,ACCP00-0030,2,,1,0.47,,
51,ACCP00-0040,2,,1,0.69,,
52,ACCP00-0060,2,,1,0.56,,
53,ACCP00-0080,2,,1,0.52,,
54,AQHS00-0020,2,,1,1.42,,
55,AQHS00-0040,2,,1,1.17,,
56,AQHS00-0060,2,,1,2.08,,
57,AQHS00-0070,2,,1,1.56,,
58,AQHS00-0080,2,,1,1.73,,
59,AQHS00-0100,2,,1,2.07,,
60,AQHS00-0110,2,,1,1.65,,
61,AQHS00-0130,2,,2,1.4,,
62,AQHS00-0140,2,,2,0.75,,
63,AQHS00-0150,2,AQHS00-0130,1,0.74,,
64,AQQS00-0160,2,,1,0.81,,6
65,AQQJ00-0170,2,AQHS00-0130,2,2.03,,2
66,AQHD00-0180,2,,1,0.79,,
67,AQWC00-0190,2,,1,0.99,,4
68,AJZY00-0220,2,,1,2.16,,
69,AJYY00-0230,2,,1,0.33,,
70,AJZY00-0240,2,,1,0.34,,
71,AJYY00-0250,2,,1,2.87,,
72,AJZY00-0260,2,,1,2.32,,
73,AJYY00-0270,2,,1,0.36,,
74,AJZY00-0280,2,,1,0.32,,
75,AJQX00-0290,2,,1,0.97,,4
76,AJHS00-0300,2,,1,0.51,,
77,AJYYA1-0310,2,,2,1.45,,
78,AJWC00-0560,2,,1,0.5,,4
79,AJWC00-0570,2,,1,2.25,,4
80,AJWC00-0580,2,,5,1.73,,4
81,AEQS00-0020,2,,1,1.6,,6
82,AEQS00-0030,2,,1,0.97,,6
83,AEHS00-0040,2,,1,4.78,,
84,AEQX00-0050,2,,1,1.26,,4
85,AEQS00-0060,2,,1,0.44,,6
86,AEQS00-0070,2,,1,0.63,,6
87,AEZY00-0430,2,,1,1.77,,
88,DXHS00-0010,2,,1,3.55,,
